,question
279,怎么没有换电的
280,怎么不可以换电
281,我需要换电
282,必须每天换电吗
283,这个换电的到底在哪里
284,为什么不能换电呢
285,为什么无法换电呢
286,这个换电不能用了嘛
287,哪里可以换电
288,怎么换电呀
289,这怎么换电
290,需要怎么才能换电哦
291,哪里还有换电的
292,是不是直接就可以换电了啊
293,那怎么才能换电
294,我怎么换电
295,换电怎么换
296,我要在黑猫平台投诉你们
297,投诉你们我要
298,咋投诉你们我要投诉你们
299,不然去网上各个平台投诉你们
300,黑猫平台投诉你们
301,我要去12315投诉你们
302,不然我将依法对你们平台进行投诉
303,我要去工信部投诉你们
304,那不然我就不用这个平台的电池了
305,我要投诉客服
306,咨询下是否可以加盟
307,我想咨询一下怎么加盟
308,站点合作咨询
309,如何加盟你们
310,还需要加盟吗
311,你们是怎么加盟的
312,是否可以加盟
313,站点那边怎么联系
314,了解加盟问题
315,怎么加盟呢
316,可以加盟吗
317,你们怎么加盟呢
318,我自己加盟一个
319,我们这个可以加盟么
320,是否能加盟
321,你们怎么加盟
322,这个怎么加盟
323,你们加盟是怎么加盟的
324,你们加盟是怎么加盟的有什么要求
325,这个能加盟吗
326,想咨询换电柜加盟的事
327,加盟怎么加
328,押金是退款到哪里
329,押金退款退哪里
330,我的押金哪里去了
331,退款到哪里啊
332,能给优惠券吗
333,为什么没有优惠券了
334,优惠券有吗
335,给我个优惠券
336,怎么没有优惠券了的
337,给我优惠券
338,还有优惠券吗
339,都有优惠券我怎么没有
340,我怎么没有优惠券
341,我的优惠券呢
342,我的没有优惠券了
343,没优惠券啊
344,为什么没有优惠券
345,没见优惠券了
346,怎么没有优惠券
347,怎么获得优惠券
348,我的优惠券去哪里了
349,怎么没优惠券
350,不给优惠券吗
351,咋优惠券突然没了
352,优惠券怎么没有了
353,怎么没有优惠券了
354,优惠券怎么没了
355,你还有没有啥优惠券之类的
356,给个优惠券
357,需要优惠券
358,给一个优惠券
359,原来都有优惠券为什么现在没有
360,没有优惠券吗
361,优惠券没有
362,能不能再给个优惠券
363,没有优惠券
364,还有没有优惠券
365,可以优惠券吗
366,目前还有什么优惠券吗
367,优惠券没了处理一下
368,有优惠券么
369,优惠券没了
370,优惠券没有了
371,优惠券怎么还没给
372,为什么我没有优惠券了
373,能不能给个优惠券啊
374,能不能给优惠券
375,现在没有优惠券了
376,哪里有优惠券
377,为什么不给优惠券我了
378,现在优惠券都没有啥吗
379,这个优惠券能给一下吗
380,为什么我没有优惠券
381,优惠券没了怎么办
382,怎么没有优惠券了么
383,我现在没有优惠券了
384,优惠券没有了嘛
385,还有没有优惠券啊
386,给我一个优惠券
387,没有优惠券了
388,怎么我优惠券没有了
389,我怎么没有优惠券了
390,怎么我的优惠券没有了
391,我怎么没有优惠券的
392,咱们这边有优惠券吗
393,我没有那个优惠券啊
394,没有优惠券了嘛
395,有优惠券吗
396,现在没有优惠券了吗
397,我优惠券呢
398,没有优惠券了吗
399,逾期影响支付宝信用分吗
400,假如只逾期一天会对信用有影响吗
401,逾期了对信用有影响吗
402,支付宝有逾期
403,对支付宝没啥影响是吧
404,逾期两天会不会影响信用分
405,逾期影响征信吗
406,我这个逾期一天会影响征信吗
407,支付宝套餐什么逾期了
408,逾期三天有什么影响吗
409,我这个逾期2天影不影响个人信用
410,我用信用免押如果我订单逾期了会不会支付宝扣我的钱啊
411,如果逾期了会怎么样
412,电池也跑不远
413,"到了定位的地方找不到,电柜？"
414,"这个定位怎么找不到电池,电柜？"
415,"电池定位都找不到了,电柜？"
416,"怎么找不到电池定位了,电柜？"
417,电池定位怎么找不到了
418,看电池定位到这里附近也找不到电池
419,找不到换电池的地方
420,找不到附近换电池的地方
421,电池位置不准确找不到电池位置
422,找不到站点更换电池
423,定位到地方找不到电池
424,车子找不到了在哪定位电池
425,找不到预约电池的地方
426,电池定位不准确
427,问题我现在就是找不到电柜
428,找不到电柜
429,怎么找不到电柜呢
430,这个电柜找不到
431,附近就是九江里我在这找不到电柜定位不准
432,找不到换电的地方
433,到了地方找不到柜子
434,找不到电柜地址
435,我是预约根据地址去找找不到换电池的地方才取消的预约
436,是预约根据地址去找找不到换电池的地方才取消的预约
437,寄存次数和寄存时间有限制吗
438,免费寄存有次数与时间限制不
439,寄存不限时间也不限次数对吧
440,电池寄存有次数与时间的要求吗
441,寄存时间限制
442,能寄存多少时间
443,寄存次数是不限吗
444,寄存还有时间限制
445,这个寄存还有时间限制
446,寄存的时间有限制嘛
447,寄存有时间限制的吗
448,寄存的时间有限制吗
449,寄存有时间限制吗
450,寄存有限制次数吗
451,寄存次数有限制吗
452,或者寄存有时间限制吗
453,寄存有时间规定吗
454,那寄存的次数呢
455,寄存有次数吗
456,嗯寄存的次数是多少
457,寄存次数不限制吧
458,寄存次数也不限制吗
459,寄存次数限制
460,寄存要多少时间才可以
461,寄存有次数限制吗
462,寄存没有时间限制吧
463,寄存有时间限制么
464,寄存次数有多少次的
465,一次寄存时间是多久
466,寄存限时间吗
467,中间寄存的时间有规定多长吗
468,有时间限制免费寄存
469,在杭州没有次数和时间限制对吗
470,寄存以后时间可以延长吗
471,寄存电池限制次数么
472,请问一下寄存有次数限制吗
473,寄存的期限和次数
474,电池可以寄存多少时间
475,寄存时间如何算的
476,电池寄存有时间限制吗
477,寄存最长多少时间
478,最长寄存时间
479,寄存有没有次数限制
480,每个月有寄存次数限制吗
481,我都不知道这个寄存还有时间上限
482,就是寄存时间小于一天没有用吗
483,寄存最底要多少时间才可以
484,可以寄存时间长吗
485,没有看到寄存规则呀
486,寄存的具体规则是啥
487,这是寄存规则
488,电池寄存规则
489,寄存的规则也没有写
490,寄存电瓶规则
491,寄存扣时长是什么规则呢
492,我不是寄存吧
493,不可以每天都寄存吗
494,这怎么还是寄存
495,没有什么规则限制是吧
496,寄存不是吗
497,哦麻烦您发一下寄存规则
498,是不是寄存不限啊
499,寄存有限制吗
500,那个寄存怎么用的
501,使用规则说明一下
502,我问一下这个寄存电池的规则
503,寄存时间计算规则
504,寄存可以一直寄存吗
505,寄存成功天数怎么没了
506,如果寄存成功那个电池天数不会变吧
507,为什么我冻结天数没有保留
508,我的电池冻结了为什么时间也走
509,我冻结了电池电池天数怎么少了呢
510,我不是一直冻结着的吗怎么天数越来越少了
511,冻结之后怎么扣我天数
512,冻结为什么还要扣天数
513,我这电池冻结了为什么还扣我的天数
514,我冻结套餐了怎么还减少天数了
515,我明明冻结套餐了为什么天数还是少了
516,我电池都冻结起来了怎么天数少了
517,为什么我电池已冻结了还会扣天数啊
518,我回家冻结了套餐怎么现在打开没有了
519,寄存天数不保
520,寄存天数变少了
521,寄存天数怎么少了
522,寄存浪费天数吗
523,寄存减少天数
524,我不是一直寄存着的吗怎么天数越来越少了
525,寄存是需要另外扣除天数的吗
526,我现在在寄存天数怎么一直少
527,寄存还有时间怎么就不见了
528,寄存消耗天数么
529,我寄存了为什么现在没有天数了
530,我寄存了电池电池天数怎么少了呢
531,我寄存了电池天数今天怎么少了
532,寄存电池会扣天数吗
533,寄存之后取电为什么取不出来
534,我之前寄存的电瓶为啥取不出来
535,寄存的电池取不出来
536,我这边寄存的电池怎么取不出来啊
537,寄存电池为什么取不出来
538,寄存取不了电池
539,寄存取不了
540,我28号寄存的电池还有五天怎么没了
541,我的电池寄存了寄存的时候还在好多天使用时间现在看怎么套餐没了呢
542,寄存的时候套餐还剩好像一周多时间现在怎么套餐没了呢
543,我之前寄存还有19天怎么跑没了
544,国庆前我寄存的电池怎么没了到期了
545,寄存了套餐时间怎么没了
546,我的套餐剩4天寄存了怎么突然没了
547,我还有两天的时间寄存了没用怎么没了
548,寄存后怎么没了
549,上面开票信息可以吧
550,我开票信息什么时候发给我
551,什么开票需要啊
552,开票信息一个都不能少公司要求严格
553,怎么提供呢
554,能提供一下吗
555,要不要我提供什么给你
556,不需要提供我的吗有什么用啊
557,可以开票嘛
558,电池满了没有空箱
559,哪里有电池可换
560,没有可换电池
561,没电池可换
562,没有空箱我怎么换电池
563,无空箱怎么换电池
564,换电池没有空箱怎么办
565,没有空箱换不了电池
566,到处都没有电池电池柜是坏的
567,最近附近可换电池严重不足
568,电柜里面没有可换电池怎么办
569,可换电池有点少
570,配电柜没电池可换
571,附近的电商都没有可换电池怎么办
572,提示没有可换的电池
573,可以跨区域使用电池吗
574,咱们的电池可以跨城市使用吗
575,电池可以跨城市使用吗
576,你们的电池可以跨区域用吗
577,可以跨区域换电池吗
578,这个电池能跨城市换电吗
579,请问这个电池可以跨城市使用吗
580,电池能不能跨区域换电
581,电池可以跨区域换电了吗
582,可以跨城市使用吗
583,能跨城市使用吗
584,不同的城市能使用电池吗
585,电池不能在其他城市使用吗
586,去别的城市电池还可以用吗
587,可以跨城市使用嘛
588,电池可以去其他城市用吗
589,电池有那个区域限制吗
590,这电池到别的城市还可以用吗
591,可以跨城市使用的吗
592,跨城市可以用吗
593,电池其他城市可以使用么
594,可以跨区域使用吗
595,能不能跨城市使用
596,可以跨区域用吗
597,可以用其他城市的电池吗
598,可以跨城市用吗
599,可以跨城市使用
600,可以跨区域吗
601,电池别的城市也可以用吗
602,可以跨城市使用么
603,这个电池换个城市比如西安可以扫码用吗
604,电池可跨城换么
605,跨城市换电可以吗
606,电池可以换区域使用吗
607,电池更换城市
608,或者可不可以跨城市使用
609,电池换电限制区域吗
610,这个可以跨区域换电吗
611,套餐可以跨区域用么
612,去其它城市可以更换电池吗
613,可以跨城市换电吗
614,换电可以跨城市吗
615,能不能跨城市换电
616,套餐不能跨城市使用
617,请问可以跨城市使用吗
618,跨城市可以换电吗
619,你好可以跨城市使用吗
620,电池可以换区域吗
621,您好咱们可以跨城市使用吗
622,我换城市还能用电池吗
623,北京到保定不能用是吧
624,在杭州租的能不能在北京用
625,我在杭州租的现在能不能在北京用
626,我想问我在北京寄存的电池能在别的省份用吗比如海南三亚
627,如果说我在北京买了套餐但是中途换了城市这个套餐还能继续用吗
628,我之前在北京用的这里现在换西安了需要怎么才可以正常租电
629,北京买的套餐深圳能用吗
630,你好我因为工作调动在南京购买的套餐现在用不上了我现在调到北京工作了这个套餐可以做个地区变更吗
631,那比如北京和燕郊算跨区域嘛两个地方电池都可以通用嘛
632,北京和燕郊能一起用吗
633,您好我问下上海那边的在北京能用吗
634,能帮我切换到北京么我要在北京用
635,北京到廊坊可以用吗
636,在江苏寄存到北京重新取用
637,北京暂存的电池在成都能用吗
638,北京买的套餐在广州可以用吗
639,在北京买的套餐可以在河北用吗
640,我在北京买的套餐在河北燕郊能用吗
641,嗯那我要是以后出来北京切换到河北可以使用河北的这锂换电么北京这锂换电号
642,北京用户可以在燕郊取出电池来么可以互换使用不
643,北京用户在河北地区能换电不
644,北京买的套餐去上海还能用吗
645,这就有点坑人了吧北京到上海还不能用
646,天津的北京能用吗
647,你好上海浙江可以跨省使用吗
648,注册在上海实际使用在诸暨
649,想了解一下在上海租的电瓶可以把车骑到杭州去用的吗
650,我是在浙江注册的这锂用户去上海也一样用吧
651,我上海买的套餐在宁波能用吗
652,我在上海用的这锂来苏州可以换电吗
653,我目前在上海用可能下个月换城市去浙江然后没有看到换城市的按钮
654,我在上海办理的这里换电能在苏州跨城市用吗
655,问一下上海和花桥通用的吗
656,只可以在上海内使用换电服务吗
657,比如上海使用骑到杭洲柜能换电池吗
658,我在上海租的这锂换电现在回老家江西南昌市安义县能继续用吗
659,你好我在上海租的这锂换电现在回老家江西南昌市安义县能继续用吗
660,在深圳租的电池可以去上海继续用吗
661,在深圳租的电池寄存可以去上海取电继续用吗
662,我在无锡买的就没办法去苏州昆山上海使用是吧
663,我在上海寄存的电池在杭州能用吗
664,上海到杭州可以跨城市使用吗
665,杭州上海可以跨城使用吗
666,杭州的上海可以用吗
667,我现在在昆山到了上海可以用吗
668,太仓市购买的套装能在上海用吗
669,您好杭州的电池和上海通用么
670,上海存电去了武汉还能用么
671,在杭州购买了套餐最近要去上海可以正常使用吗
672,上海换电可以在宿迁用吗
673,我在上海租的电池能不能在杭州用
674,上海的可以在浙江杭州用吗
675,上海电池能不能在江苏用
676,就是我在上海租的电池去江苏能不能用
677,上海租的电池到杭州还可以用吗
678,上海购买的月租套餐去其他城市能用吗
679,上海的月租套餐到苏州可以用吗
680,上海的就只能上海用吗
681,我当时想换电池换不了然后我给客服打电话他说我买的是上海的合肥用不了
682,广州跟顺德能跨区使用换电吗
683,广州佛山通用吗
684,深圳这边套餐没过期到广州那边还可以用吗
685,请问深圳购买的换电套餐能否在汕尾或者广州使用
686,请问深圳购买的套餐能否在汕尾广州使用
687,广州东莞深圳通用吗
688,广州东莞深圳通用吗
689,广州东莞杭州惠州通用吗
690,东莞的电池去广州可以正常用吗
691,我在惠州购买套餐在广州使用可以嘛
692,东莞购买的套餐在广州可以用吗
693,广州和东莞市通用的是吧
694,在广州搞的在深圳东莞可以用吗
695,电池广州去东莞可以用吗
696,电池广州到东莞可以用吗
697,深圳注册的换电去广州可以用吗
698,在深圳注册的换电我去广州能用吗
699,深圳注册的换电去广州能用吗
700,你们这个电池我在广州市用出了广州市在别的市区也能扫电池用么
701,深圳东莞广州通用吗
702,广州佛山都可以用吗
703,我刚看了广州深圳东莞惠州都有60是不是可以通用
704,现在是不是广州佛山深圳东莞惠州通用
705,我就在广州东莞还有深圳使用
706,深圳买的套餐到广州能用是吗
707,广州购买的48可以在惠州用60的吗
708,在广州买的套餐在东莞能用吗
709,在广州买的套餐你到东莞那边能用吗
710,就我在广州拿电用然后开去江门市江门市这边可以换电嘛
711,你好想问下在广州租的套餐在东莞深圳可以用
712,广州的佛山不能用吗
713,问一个问题我朋友东莞租的60他过来广州这边能换成48的继续用吗因为广州这边没有60的
714,广州天河就只能在广州天河用去海珠区就不可以了
715,广州开通的深圳用不了是吗
716,为什么广州租用的深圳用不了
717,广州租的深圳用不了是吗
718,为什么广州租的深圳用不了
719,我现在在广州能先用48的等会儿回到东莞了继续用60的吗
720,就是深圳东莞广州这些地方是可以通用的对吧
721,广州租的套餐可以在深圳用吗
722,我在广州用的48的电池去到东莞直接可以在同一电柜换60的电池不
723,然后全国通用吗意思是深圳广州东莞至每个城市都能更换么
724,广州用户能在东莞换电吗
725,广州租电东莞可以用不
726,想在广州租电后面在东莞可以用不
727,我在广州租的电池我去到长沙还能用吗
728,我想问一下广州的套餐哪几个城市可以用
729,我在广州买了套餐可以去深圳用吗
730,广州深圳东莞佛山都可以用以前
731,我这个电瓶车那个电瓶嘛我在义乌我还有19天到期嘛我这个房了还在义乌到时候我到广州那边可不可以用这个系统重新坐这个电瓶车
732,在佛山租的在广州可以用吗
733,请问一下我在广州那边能用这个平台吗请问一下我在广州那边能用这个平台放电吗广州能用吗
734,我就是说在广州能用吗就是这个平台
735,广州的套餐佛山可以用吗
736,在广州买的套餐在长沙能用吗
737,广州买的套餐东莞能用吗
738,这个换电深圳东莞佛山广州惠州都可以通用吗
739,请问广州的用户可以跨市换店吗
740,请问广州的用户可以跨市换电吗
741,东莞48到广州可以使用吗
742,广州佛山换电通用吗
743,东莞用户能在哪些区域使用深圳广州惠州都可以用吗
744,你好深圳60换电在东莞广州通用吗
745,你好深圳60换电在东莞广州通用吗在那边可以换电吗
746,广州市东莞市通用吗
747,你们这个广州的在顺德佛山能换吗能用吗
748,你们这个是广州东莞通用的吗
749,你好我的套餐在东莞和广州能用吗
750,你好深圳换电在东莞广州通用吗
751,广州买的套餐深圳我可以用不
752,你好我想问下我在广州买的套餐在佛山能用吗
753,我现在在广州这边买这个套餐如果回老家的话还能用吗
754,我在东莞这边的电池请问我可以在广州那边换电池用吗
755,比如我在东莞不想用了然后跑去广州那边换电都是统一的吧
756,广州购买的套餐到深圳能用吗
757,在广州买的套餐在深圳能用吗
758,我之前在深圳不是可以去广州使用么
759,这个电池我如果去外地可以在外地使用么比如在江苏暂存电池然后在广州在领取使用
760,广州租的换电在东莞能用吗
761,我在东莞虎门用的电池在广州能不能用
762,我在东莞寄存的电池在广州能不能用
763,你好我在深圳的套餐还有28天我想去广州跑外卖可以通用吗如果不可以怎么转过去
764,你好佛山的套餐可以在广州用吗
765,那除了广州还有哪个城市可以用
766,广州东莞能通用吗
767,确定广州东莞可以通用因为我要从广州骑到东莞去
768,换电可以在东莞和广州一起使用吗
769,问一下深圳买的套餐可以在广州使用吗
770,广州骑电鸡去深圳能用吗
771,广州买的套餐深圳东莞也能用吗
772,深圳购买的套餐东莞或惠州可以用吗
773,是不是东莞购买的深圳那些地方也可以使用
774,惠州深圳通用吗
775,你好东莞深圳电池通用吗
776,东莞深圳电池通用吗
777,东莞市深圳市能通用吗
778,换电东莞和深圳通用吗
779,东莞和深圳通用吗
780,我在广东长安寄存了电池在深圳用不了吗
781,这个租电东莞和深圳通用吗
782,东莞深圳通用吗
783,深圳东莞通用吗
784,东莞深圳也可以用吗如果跨市的话
785,请问一下这电池东莞深圳惠州痛通用吗
786,请问一下这电池东莞惠州深圳通用吗
787,深圳租的电池东莞可以使用吗
788,我朋友是无锡的我现在在东莞深圳两地跑请问他的套餐转过来我能用吗
789,你好问一下东莞深圳惠州换电柜是不是通用的
790,深圳东莞通用不
791,东莞深圳可以通用吗
792,深圳东莞通用吗0
793,深圳东莞惠州都有站点么通用吗
794,我在深圳租的可以在东莞用吗
795,意思就是开通后惠州东莞深圳都可以使用
796,深圳东莞佛山可以用吗
797,深圳惠州东莞通用吗
798,深圳和东莞通用吗
799,这锂换电东莞深圳是通用的吗
800,深圳和东莞通用吧
801,东莞也可以用吗深圳东莞都可以用吗
802,就是我西安这个电池寄存然后我在深圳那边也在用咱这个平台的电池
803,深圳用户可以东莞使用吗
804,我在深圳购买的去东莞能不能用
805,东莞租的套餐在深圳能不能用
806,东莞租电去深圳能用吗
807,那我就想知道珠海的这锂换电跟你们不是同一个平台为什么在深圳都能用而珠海就不能用呢
808,就是深圳购买这五个城市可以通用
809,东莞的只能在东莞使用深圳不能用吗
810,在东莞开通的到深圳能用吗
811,我在东莞的用户在深圳用不了吗
812,问一下我在深圳这边租的套餐回湖南那边还能继续用不
813,您好问一下我在深圳这边租的套餐回湖南那边还能继续用不
814,就是说在东莞开通的去到深圳也可以扫来用了吗
815,你们换电的深圳和东莞通用吗
816,在浙江的去深圳不能用是这个意思对吧
817,在深圳可以用这个电瓶吗
818,在东莞租的套餐在深圳能不能用
819,深圳惠州都是通用的吗
820,在深圳扫的电能在东莞这边用吗
821,深圳的换电账户东莞可以用换电吗
822,东莞和深圳的换电柜一样能用吗
823,在深圳买的套餐可以在东莞用吗
824,但是你们深圳那边的负责人告诉我说东莞塘厦注册的用户不能深圳更换
825,如果我在深圳购买的套餐在其他城市可以使用吗
826,东莞买的套餐可以去深圳用吗
827,之前用的是成都的现在在深圳怎么购买新套餐
828,我在东莞买的套餐在深圳可以用吗
829,东莞和深圳已经跨市了呀怎么可以用呢
830,塘厦下单60的电池然后去深圳用换48的可以自由切换吗
831,那深圳下单60的电池能用塘厦60吗
832,深圳观澜到东莞塘厦的通用吗
833,深圳租的换电在杭州可以用吗
834,深圳与东莞通用吗
835,深圳买的套餐可以在武汉用吗
836,我在东莞这边下单你们60电池然后去深圳用48的不可以
837,电池东莞与深圳通用吗
838,深圳市和东莞不能通用吗这个电池这个套餐
839,就是说电池是深圳的然后去东莞可以继续使用吗
840,东莞的套餐惠州可以用吗
841,我之前用过惠州好像换不了
842,买48的换到60的在惠州能不能用
843,买了48的换到60的在惠州能不能用
844,在惠州开通只能在惠州使用吗
845,我租的这个电池开出惠州还能用吗
846,我现在直接购买可以在东莞用吗不用去惠州吧
847,那如果我从东莞跑惠州一个电池不够用可以用请多拿一个电池出来吗
848,惠州买的套餐能在东莞用嘛
849,您好我记得惠州和东莞的电池是通用的对吧
850,东莞租电池可以长期在惠州用吗
851,到时候不在东莞了在广西能用不
852,到时候不在东莞了到广西能用不
853,东莞石碣购买的套餐可以通用是吧
854,你这种电池只能东莞通用嘛
855,还是说东莞买的只有东莞可以使用
856,我在东莞租的电池过到佛山用不了吗
857,也就是我去到东莞也能换电使用不用买第二个套餐
858,为什么东莞的换电套餐去到珠海不能用呢
859,我之前在东莞租的换电现在公司把我调到衢州怎么把东莞没用完的订单转过来
860,我这边在东莞买的套餐没有用过回来佛山这边怎么第一次扫不出来
861,那意思就是说我在东莞买的店然后去到珠海就用不了是吗
862,那就是说如果说我去珠海那边的话然后就是在东莞这边的套餐就用不了是吧
863,那用不了的话如果说假如就是说我过去的话然后我东莞这边剩余那个套餐的剩余的天数然后是转不了的是吧
864,除了塘厦东莞其他地区租的电池可以深莞通用是吗
865,东莞可能租吗还有跨市可以用不
866,在苏州租了电池可以转到武汉用吗
867,我现在合肥电池不退回武汉换电还能继续使用吗
